[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\files\base.py first seen with mtime 1658158218.080101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\backends\base\creation.py first seen with mtime 1658158218.1361015
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\models\sql\where.py first seen with mtime 1658158218.192101
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\staticfiles\views.py first seen with mtime 1658158218.0561018
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\files\uploadedfile.py first seen with mtime 1658158218.0881011
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\admin\actions.py first seen with mtime 1658158216.240102
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\encoders.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\views\generic\detail.py first seen with mtime 1658158218.3201015
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\base_events.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\unittest\signals.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\encodings\aliases.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\sre_compile.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\asyncio\staggered.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\db\backends\base\schema.py first seen with mtime 1658158218.1361015
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\email\generator.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\requests\compat.py first seen with mtime 1658158230.6969018
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\contrib\messages\views.py first seen with mtime 1658158217.4401019
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\requests\packages.py first seen with mtime 1658158230.6969018
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\DLLs\_sqlite3.pyd first seen with mtime 1654511078.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\django\core\cache\backends\filebased.py first seen with mtime 1658158218.0721009
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\bootstrap_modal_forms\__init__.py first seen with mtime 1658158225.273788
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\urllib3\util\__init__.py first seen with mtime 1658158230.3576796
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\AppData\Local\Programs\Python\Python310\Lib\ctypes\_endian.py first seen with mtime 1654510966.0
[13/Aug/2022 05:17:55] DEBUG [django.utils.autoreload:394] File C:\Users\Admin\Desktop\qedu\venvq\Lib\site-packages\requests\__version__.py first seen with mtime 1658158230.6889365
